list-none-none,1,10,1,30,73707,2456
list-none-none,1,100,1,300,106009,353
list-none-none,1,1000,1,3000,3762282,1254
list-none-none,1,10000,1,30000,664221886,22140
list-none-none,1,20000,1,60000,-753994029,59016
list-none-none,2,10,1,60,83037,1383
list-none-none,2,100,1,600,566464,944
list-none-none,2,1000,1,6000,36564087,6094
list-none-none,4,10,1,120,166674,1388
list-none-none,4,100,1,1200,1193072,994
list-none-none,4,1000,1,12000,55500878,4625
list-none-none,8,10,1,240,217821,907
list-none-none,8,100,1,2400,3783925,1576
list-none-none,8,1000,1,24000,63785182,2657
list-none-none,12,10,1,360,353379,981
list-none-none,12,100,1,3600,7552866,2098
list-none-none,12,1000,1,36000,104110134,2891
list-i-none,2,2,1,12,78709,6559
list-i-none,2,4,1,24,78523,3271
list-i-none,2,8,1,48,79609,1658
list-i-none,2,16,1,96,83991,874
list-i-none,2,32,1,192,116706,607
list-i-none,4,2,1,24,155989,6499
list-i-none,4,4,1,48,163813,3412
list-i-none,4,8,1,96,163356,1701
list-i-none,4,16,1,192,199963,1041
list-i-none,8,2,1,48,264858,5517
list-i-none,8,4,1,96,199851,2081
list-i-none,8,8,1,192,267526,1393
list-i-none,8,16,1,384,256536,668
list-i-none,12,2,1,72,336297,4670
list-i-none,12,4,1,144,326487,2267
list-i-none,12,8,1,288,340300,1181
list-i-none,12,16,1,576,357681,620
list-d-none,2,2,1,12,93249,7770
list-d-none,2,4,1,24,78381,3265
list-d-none,2,8,1,48,78052,1626
list-d-none,2,16,1,96,163491,1703
list-d-none,2,32,1,192,159425,830
list-d-none,4,2,1,24,159532,6647
list-d-none,4,4,1,48,169012,3521
list-d-none,4,8,1,96,185475,1932
list-d-none,4,16,1,192,123574,643
list-d-none,8,2,1,48,249869,5205
list-d-none,8,4,1,96,229140,2386
list-d-none,8,8,1,192,230331,1199
list-d-none,8,16,1,384,224281,584
list-d-none,12,2,1,72,308939,4290
list-d-none,12,4,1,144,386201,2681
list-d-none,12,8,1,288,317087,1100
list-d-none,12,16,1,576,503570,874
list-il-none,2,2,1,12,136431,11369
list-il-none,2,4,1,24,84264,3511
list-il-none,2,8,1,48,101083,2105
list-il-none,2,16,1,96,156131,1626
list-il-none,2,32,1,192,313356,1632
list-il-none,4,2,1,24,173255,7218
list-il-none,4,4,1,48,176515,3677
list-il-none,4,8,1,96,112651,1173
list-il-none,4,16,1,192,205111,1068
list-il-none,8,2,1,48,261139,5440
list-il-none,8,4,1,96,227128,2365
list-il-none,8,8,1,192,290604,1513
list-il-none,8,16,1,384,403525,1050
list-il-none,12,2,1,72,342501,4756
list-il-none,12,4,1,144,350218,2432
list-il-none,12,8,1,288,299071,1038
list-il-none,12,16,1,576,608954,1057
list-dl-none,2,2,1,12,137602,11466
list-dl-none,2,4,1,24,118748,4947
list-dl-none,2,8,1,48,111542,2323
list-dl-none,2,16,1,96,148709,1549
list-dl-none,2,32,1,192,294072,1531
list-dl-none,4,2,1,24,147212,6133
list-dl-none,4,4,1,48,155918,3248
list-dl-none,4,8,1,96,121590,1266
list-dl-none,4,16,1,192,274947,1432
list-dl-none,8,2,1,48,237403,4945
list-dl-none,8,4,1,96,283891,2957
list-dl-none,8,8,1,192,202142,1052
list-dl-none,8,16,1,384,473537,1233
list-dl-none,12,2,1,72,359628,4994
list-dl-none,12,4,1,144,294802,2047
list-dl-none,12,8,1,288,320054,1111
list-dl-none,12,16,1,576,638973,1109
list-i-m,12,32,1,1152,2133256,1851
list-d-m,12,32,1,1152,2031273,1763
list-il-m,12,32,1,1152,7483205,6495
list-dl-m,12,32,1,1152,7893517,6852
list-i-s,12,32,1,1152,2794108,2425
list-d-s,12,32,1,1152,4283701,3718
list-il-s,12,32,1,1152,16105812,13980
list-dl-s,12,32,1,1152,29208164,25354
list-none-none,1,1000,1,3000,3713589,1237
list-none-m,1,1000,1,3000,3691806,1230
list-none-m,2,1000,1,6000,20604787,3434
list-none-m,4,1000,1,12000,83981972,6998
list-none-m,8,1000,1,24000,359181583,14965
list-none-m,12,1000,1,36000,895612614,24878
list-none-m,16,1000,1,48000,1891506743,39406
list-none-m,24,1000,1,72000,185879568,62233
list-none-s,1,1000,1,3000,3763972,1254
list-none-s,2,1000,1,6000,29224615,4870
list-none-s,4,1000,1,12000,214579793,17881
list-none-s,8,1000,1,24000,1006764398,41948
list-none-s,12,1000,1,36000,-1891190959,66771
list-none-s,16,1000,1,48000,86557327,180760
list-none-s,24,1000,1,72000,-176639083,295808
